Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12449,2023-03-13,-0.01542778,-0.004958495,-0.011190332,21,100
Market-Adjusted Model,12452,2023-03-13,-0.160297255,-0.14923197,-0.156059807,21,100
Market-Adjusted Model,12453,2023-03-13,0.0159661663,0.018855854,0.0202036144,21,100
Market-Adjusted Model,12457,2023-03-13,-0.096011314,-0.093034465,-0.091773866,21,100
Market-Adjusted Model,12461,2023-03-13,-0.109172086,-0.10822378,-0.104934638,21,100
Market-Adjusted Model,12462,2023-03-13,-0.160651711,-0.167367252,-0.156414263,21,100
Market-Adjusted Model,12472,2023-03-13,-0.165425585,-0.172017693,-0.161188137,21,100
Market-Adjusted Model,12473,2023-03-13,-0.035056867,-0.027121572,-0.030819418,21,100
Market-Adjusted Model,12476,2023-03-13,-0.07814157,-0.072435524,-0.073904122,21,100
Market-Adjusted Model,12477,2023-03-13,-0.144635332,-0.147251678,-0.140397884,21,100
Market-Adjusted Model,12480,2023-03-13,-0.13994735,-0.142293269,-0.135709902,21,100
Market-Adjusted Model,12487,2023-03-13,-0.104461474,-0.080267594,-0.100224026,21,100
Market-Adjusted Model,12488,2023-03-13,-0.080357169,-0.078018721,-0.076119721,21,100
Market-Adjusted Model,12490,2023-03-13,-0.009650072,-0.005234415,-0.005412624,21,100
Market-Adjusted Model,12495,2023-03-13,0.0450150013,0.0634277654,0.0492524494,21,100
Market-Adjusted Model,12497,2023-03-13,-0.272740742,-0.29761647,-0.268503294,21,100
Market-Adjusted Model,12500,2023-03-13,-0.645874469,-0.698722719,-0.641637021,21,100
Market-Adjusted Model,12502,2023-03-13,-0.223848849,-0.223716834,-0.219611401,21,100
Market-Adjusted Model,12505,2023-03-13,-0.079387596,-0.074985554,-0.075150147,21,100
Market-Adjusted Model,12508,2023-03-13,0.0026535422,0.0067383629,0.0068909903,21,100
Market-Adjusted Model,12510,2023-03-13,0.102192774,0.103095208,0.1064302221,21,100
Market-Adjusted Model,12513,2023-03-13,-0.312002584,-0.358685372,-0.307765136,21,100
Market-Adjusted Model,12514,2023-03-13,-0.138358792,-0.142638812,-0.134121344,21,100
Market-Adjusted Model,12515,2023-03-13,-0.345190651,-0.386749091,-0.340953203,21,100
Market-Adjusted Model,12516,2023-03-13,-0.040800949,-0.037160059,-0.036563501,21,100
Market-Adjusted Model,12523,2023-03-13,0.0071633363,0.0109937042,0.0114007844,21,100
Market-Adjusted Model,12527,2023-03-13,1.0249999882,0.8243201909,1.0292374363,21,100
Market-Adjusted Model,12528,2023-03-13,-0.015449075,-0.008325612,-0.011211627,21,100
Market-Adjusted Model,12530,2023-03-13,0.0190939807,0.0317349765,0.0233314288,21,100
Market-Adjusted Model,12531,2023-03-13,-0.026315812,0.0116205223,-0.022078364,21,100
Market-Adjusted Model,12533,2023-03-13,-0.029252035,-0.025206856,-0.025014587,21,100
Market-Adjusted Model,12534,2023-03-13,-0.006914424,-0.001396879,-0.002676976,21,100
Market-Adjusted Model,12535,2023-03-13,-0.063843288,-0.060603629,-0.05960584,21,100
Market-Adjusted Model,12536,2023-03-13,-0.069498494,-0.066211053,-0.065261046,21,100
Market-Adjusted Model,12537,2023-03-13,0.0217324063,0.0246356809,0.0259698544,21,100
Market-Adjusted Model,12540,2023-03-13,-0.026698949,-0.019439373,-0.022461501,21,100
Market-Adjusted Model,12543,2023-03-13,-0.057921134,-0.055508394,-0.053683686,21,100
Market-Adjusted Model,12552,2023-03-13,0.0108548065,0.0141928554,0.0150922546,21,100
Market-Adjusted Model,12558,2023-03-13,-0.031536762,-0.02723895,-0.027299314,21,100
Market-Adjusted Model,12564,2023-03-13,0.0236204018,0.026789694,0.0278578499,21,100
Market-Adjusted Model,12565,2023-03-13,0.0259611036,0.0289781791,0.0301985517,21,100
Market-Adjusted Model,12566,2023-03-13,-0.165822786,-0.165477323,-0.161585338,21,100
Market-Adjusted Model,12569,2023-03-13,0.2108843188,0.2043030642,0.2151217668,21,100
Market-Adjusted Model,12570,2023-03-13,-0.085077853,-0.079481322,-0.080840405,21,100
Market-Adjusted Model,12573,2023-03-13,-0.454676242,-0.519079014,-0.450438794,21,100
Market-Adjusted Model,12577,2023-03-13,0.1340782208,0.1594448572,0.1383156689,21,100
Market-Adjusted Model,12578,2023-03-13,0.0372833791,0.0404497606,0.0415208272,21,100
Market-Adjusted Model,12579,2023-03-13,-0.144444433,-0.130224482,-0.140206985,21,100
Market-Adjusted Model,12583,2023-03-13,-0.022682934,-0.013722264,-0.018445486,21,100
Market-Adjusted Model,12591,2023-03-13,-0.168195307,-0.167850923,-0.163957859,21,100
Market-Adjusted Model,12592,2023-03-13,-0.192771043,-0.142913856,-0.188533595,21,100
Market-Adjusted Model,12593,2023-03-13,-0.066456357,-0.063238323,-0.062218908,21,100
Market-Adjusted Model,12615,2023-03-13,-0.150282354,-0.150482435,-0.146044905,21,100
Market-Adjusted Model,12621,2023-03-13,-0.051142098,-0.044962231,-0.04690465,21,100
Market-Adjusted Model,12622,2023-03-13,0.0235613522,0.0288348809,0.0277988003,21,100
Market-Adjusted Model,12623,2023-03-13,-0.071891257,-0.06946835,-0.067653808,21,100
Market-Adjusted Model,12625,2023-03-13,-0.012728842,-0.008952431,-0.008491394,21,100
Market-Adjusted Model,12628,2023-03-13,0.0067002408,0.0124205564,0.0109376889,21,100
Market-Adjusted Model,12629,2023-03-13,-0.082991845,-0.078632606,-0.078754397,21,100
Market-Adjusted Model,12631,2023-03-13,-0.008715373,-0.005539839,-0.004477925,21,100
Market-Adjusted Model,12633,2023-03-13,0.00644221,0.0096228364,0.0106796581,21,100
Market-Adjusted Model,12641,2023-03-13,-0.123809185,-0.124859947,-0.119571737,21,100
Market-Adjusted Model,12644,2023-03-13,-0.120702475,-0.115246587,-0.116465027,21,100
Market-Adjusted Model,12646,2023-03-13,0.0059005096,0.0124205589,0.0101379577,21,100
Market-Adjusted Model,12647,2023-03-13,-0.034436471,-0.029177398,-0.030199023,21,100
Market-Adjusted Model,12648,2023-03-13,-0.042203529,-0.037461075,-0.037966081,21,100
Market-Adjusted Model,12649,2023-03-13,-0.059140473,-0.054156407,-0.054903025,21,100
Market-Adjusted Model,12651,2023-03-13,0.0123053866,0.0174461376,0.0165428347,21,100
Market-Adjusted Model,12652,2023-03-13,0.0075221927,0.0119199821,0.0117596408,21,100
Market-Adjusted Model,12654,2023-03-13,-0.019608767,-0.015307819,-0.015371319,21,100
Market-Adjusted Model,12655,2023-03-13,-0.005574961,-0.001650018,-0.001337513,21,100
Market-Adjusted Model,12656,2023-03-13,-0.048871532,-0.044937588,-0.044634084,21,100
Market-Adjusted Model,12657,2023-03-13,-0.094640173,-0.09336384,-0.090402725,21,100
Market-Adjusted Model,12658,2023-03-13,-0.052218577,-0.04814422,-0.047981129,21,100
Market-Adjusted Model,12659,2023-03-13,-0.106718377,-0.106543762,-0.102480929,21,100
Market-Adjusted Model,12662,2023-03-13,-0.01515159,-0.011410518,-0.010914142,21,100
Market-Adjusted Model,12666,2023-03-13,-0.013418754,-0.010186961,-0.009181305,21,100
Market-Adjusted Model,12672,2023-03-13,-0.031708375,-0.028461644,-0.027470927,21,100
Market-Adjusted Model,12673,2023-03-13,-0.014073411,-0.00999699,-0.009835963,21,100
Market-Adjusted Model,12675,2023-03-13,0.0191399305,0.0221603528,0.0233773786,21,100
Market-Adjusted Model,12676,2023-03-13,0.0104891631,0.0134146301,0.0147266112,21,100
Market-Adjusted Model,12680,2023-03-13,-0.137500063,-0.140388277,-0.133262615,21,100
Market-Adjusted Model,12681,2023-03-13,-0.029939764,-0.024061472,-0.025702316,21,100
Market-Adjusted Model,12684,2023-03-13,-0.105871985,-0.105535037,-0.101634537,21,100
Market-Adjusted Model,12690,2023-03-13,-0.026809629,-0.000657198,-0.022572181,21,100
